,Title,Date,Notes,Names and Subjects,ID,Barcode,Physical Description,Map Scale,Copyright,Repository,Date Added/Updated,iiif_manifest_url,Creator,Collection Title,Alternate Title,Collection Creator,Genre
0,Plan of the fort at Tienderoga at the head of Lake Champlain; 1759.,1763,"['In: Rocque, Mary Ann. A set of plans and forts ..., 1763, no. 26.', 'Shows Ticonderoga defenses as they were when captured by the British in 1759.', 'Table of references identifies major features.']","['Maps shelf.', 'Fort Ticonderoga (N.Y.)--Maps.', 'Ticonderoga (N.Y.)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Rocque, Mary Ann.']",973,B1937228,1 map ; 12.3 x 16.9 cm.,Scale indeterminate.,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-11-18 11:17:59,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:973,,,,,
0,"Continuation of the River Chaudière from where it falls into the St. Lawrence, as laid down in the lower plan, to the village of St. Marie, or Nouvelle Beausse, and of the River Etchemin as far as the village of St. Henri, with the road and communication from St. Henri to the ferry of Sartigan, [ca. 1761] / surveyed by Lieut. Haldimand of the Royal American Regt.",ca. 1761,"['Finished, colored, topographical map of the area.', 'Map as well as sheet 41 are components of an inset map on key map sheet 33.', 'Map is sheet 40 of the Murray Atlas of Canada and sheet 7 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Chaudière River (Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",695,B3522409,1 ms. map : col. ; 50.7 x 72 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 17:13:49,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:695,"Haldimand, Frederick.",Murray Atlas of Canada,,,
0,"Parish of St. Nicholas. The Parish of St. Augustin, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Includes some additional features relating to the 1759 campaign keyed to the full-page table of references on sheet 51 of the atlas.', 'Map is sheet 62 of the Murray Atlas of Canada and sheet 11 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Québec Campaign, Québec, 1759--Maps, Manuscript.', 'Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Cap-Rouge (Québec)--Manuscript maps.', 'Saint Lawrence River--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",714,B3524368,1 ms. map : col. ; 47.7 x 69 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 15:51:50,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:714,,Murray Atlas of Canada,,,
0,Plan of Fort Frederick at Albany.,1763,"['In: Rocque, Mary Ann. A set of plans and forts ..., 1763, no. 8.', 'Major buildings identified.', 'Insets show elevation and section of fort.']","['Maps shelf.', 'Views, architectural (Fort Frederick, Albany, N.Y.)', 'Fort Frederick (Albany, N.Y.)--Maps.', 'Albany (N.Y.)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Rocque, Mary Ann.']",965,B1937210,1 map ; 12.9 x 16.8 cm.,Scale indeterminate.,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-11-18 11:09:58,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:965,,,"['Inset title: Section thro CD', 'Inset title: View from the south-east side of the fort']",,
0,Attaques des retranchemens devant le fort Carillon en Amérique par les anglais commandés par le général Abercrombie contre les franc̜ais aux ordres su Marquis de Montcalm le 8 Juillet 1758.,1792,"['From: Les plans de la guerre de sept ans contenans les batailles combats, prises de villes, camps etc. Frankfurt, [1793].', 'Below neat line at left: Dessiné par Therbu lieutenant ingenieur.', ""Engraved by: Contgen graveur de la cour et de l'Université de Mayence."", 'Above plate mark at lower right: Lit: c. N20 11.', 'Extensive key of references to events of the attack on Ticonderoga.', 'Color on military units and field fortifications only.']","['Ticonderoga, Battle of, N.Y., 1758--Maps.', 'Maps shelf.', 'Ticonderoga (N.Y.)--Maps.', 'Fort Ticonderoga (N.Y.)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Contgen, Henrich Hugo,--1727-1792.']",645,B1936858,1 map : col. ; 35.7 x 24 cm,Scale in pas.,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-02-20 00:23:10,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:645,Therbu.,,Additional title: Plan du Fort Carillon.,,
0,"A sketch of the south shore of Lake Ontario between Oswego and Niagara, and from thence up the river to aboute two miles above the falls.",1759,"['Signed: Done by Geo: Demler, engineer.', 'Shows coastline and mouths of rivers.']","['Manuscript maps.', 'Gage Maps.', 'Brun Guide.', 'Maps shelf.', 'Ontario, Lake (N.Y. and Ont.)--Manuscript maps.', 'Oswego (N.Y.)--Manuscript maps.', 'Old Fort Niagara (N.Y.)--Siege, 1759--Manuscript maps.', 'Niagara River (N.Y. and Ont.)--Manuscript maps.', 'New York (State)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",854,B1936311,1 ms. map : col. ; 20 x 52 cm.,"Scale 1:633,600.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2019-05-06 18:19:08,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:854,"Demler, George, fl. 1755-1774.",Thomas Gage papers,,"Gage, Thomas, 1721-1787",
0,"A south view of Oswego, on Lake Ontario, in North America.",1760.,"['Engraved for London magazine.', 'View of British fort and camps at Oswego as they appeared in 1755.', 'Copy 2 in: London magazine, vol. 29, May 1760, p. 232.']","['Maps shelf.', 'Views, topographical (Oswego, N.Y.)', 'Oswego (N.Y.)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.']",926,B1936585,1 view ; 13.3 x 25.5 cm.,Scale indeterminate.,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-08-11 23:59:57,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:926,,,,,
0,"Plan of the new fort & redoubts, at Crown Point.",1763,"['In: Rocque, Mary Ann. A set of plans and forts ..., 1763, no. 12.', 'Shows three redoubts but not the new fort.']","['Maps shelf.', 'Crown Point (N.Y.)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Rocque, Mary Ann.']",972,B1937214,3 maps on 1 sheet ; 12.1 x 16.8 cm.,"Scale ca. 1:1,200.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-11-18 11:14:31,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:972,,,,,
0,A plan of Fort William Henry and the English camps & retrenchments with the French different camps and attack there upon.,1763,"['In: Rocque, Mary Ann. A set of plans and forts ..., 1763, no. 19.', 'Table of references identifies features and events of the 1757 siege.', 'Inset shows plan of Fort William Henry.']","['Maps shelf.', 'Fort William Henry (N.Y.)--Maps.', 'Fort William Henry (N.Y.)--Capture, 1757--Maps.', 'George, Lake (N.Y. : Lake)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Rocque, Mary Ann.']",797,B1937221,1 map ; 12.1 x 15.1 cm.,"Scale ca. 1:9,900.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-11-18 11:33:30,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:797,,,,,
0,"A plan of the river St. Laurence, from Sillery to the fall of Montmerenci, with the operations of the siege of Quebec; under the command of Vice Adml. Saunders & Majr. Genl. Wolfe, 5th Sept. 1759.","Novr. 26, 1780.","[""State 2 with addition of publisher's imprint below neat line."", 'From: The field of Mars, 1780, vol. 2.', 'Engraved by: J. Cary.', ""Shows details and events of siege of Quebec with table of references identifying major features of the town's defenses.""]","['Québec Campaign, Québec, 1759--Maps.', 'Maps shelf.', 'Vignaud Maps.', 'Québec (Québec)--Maps.', 'Saint Lawrence River--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Cary, John,--approximately 1754-1835.']",5626,B1939197,1 map ; 18.7 x 24 cm,"Scale ca. 1:62,000. Scales of insets vary.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2018-05-10 16:28:01,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:5626,,,"['Inset title: Part of the upper river of St. Laurence', ""Inset title: View of the action gain'd by the English Sept. 13, 1759 near Quebec""]",,
